Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2003-01-01,BANKEX,2272.65,2693.44,1329.94,1416.64,0,0,Wednesday,False,,,False
2004-01-01,BANKEX,3260.59,3689.83,2523.03,2992.9,0,0,Thursday,True,1576.26,111.27,True
2005-01-01,BANKEX,4449.5,5188.13,3299.22,4425.36,0,0,Saturday,False,1432.4599999999996,47.86,True
2006-01-01,BANKEX,5267.88,7353.38,4311.56,6484.06,0,0,Sunday,True,2058.7000000000007,46.52,True
2007-01-01,BANKEX,7289.08,11826.47,6815.34,7260.09,0,0,Monday,False,776.0299999999997,11.97,True
2008-01-01,BANKEX,4696.57,12273.1,4139.28,10713.91,0,0,Tuesday,True,3453.8199999999997,47.57,True
2009-01-01,BANKEX,9894.3,10383.29,4122.85,4490.97,0,0,Thursday,False,-6222.94,-58.08,False
2010-01-01,BANKEX,10629.08,14984.7,9259.84,10652.35,0,0,Friday,True,6161.38,137.19,True
2011-01-01,BANKEX,10160.86,13524.09,9134.72,12064.01,0,0,Saturday,False,1411.6599999999999,13.25,True
2012-01-01,BANKEX,13150.97,14395.96,9058.86,12947.29,0,0,Sunday,True,883.2800000000007,7.32,True
2013-01-01,BANKEX,14434.14,14821.32,10412.53,13086.92,0,0,Tuesday,False,139.6299999999992,1.08,True
2014-01-01,BANKEX,21257.32,21665.73,11592.96,11712.31,0,0,Wednesday,True,-1374.6100000000006,-10.5,False
2015-01-01,BANKEX,19847.3,23903.82,18473.93,20865.31,0,0,Thursday,False,9153.000000000002,78.15,True
2016-01-01,BANKEX,21625.85,23349.92,15851.89,18391.96,0,0,Friday,True,-2473.350000000002,-11.85,False
2017-01-01,BANKEX,28435.15,29326.3,20367.81,22311.97,0,0,Sunday,False,3920.010000000002,21.31,True
2018-01-01,BANKEX,31025.13,31628.96,27229.12,30376.68,0,0,Monday,True,8064.709999999999,36.15,True
2019-01-01,BANKEX,32554.16,37193.35,29712.94,30731.37,0,0,Tuesday,False,354.6899999999987,1.17,True
2020-01-01,BANKEX,26999.41,36947.9,23234.06,26972.91,0,0,Wednesday,True,-3758.459999999999,-12.23,False
2021-01-01,BANKEX,35904.69,47353.13,34330.94,37547.91,0,0,Friday,False,10575.000000000004,39.21,True
2022-01-01,BANKEX,49541.08,49986.65,40458.37,43569.48,0,0,Saturday,True,6021.57,16.04,True
2023-01-01,BANKEX,50380.29,54799.84,44706.75,48448.07,0,0,Sunday,False,4878.5899999999965,11.2,True
2024-01-01,BANKEX,54261.41,54542.19,50238.96,51999.08,0,0,Monday,True,3551.010000000002,7.33,True
