BROAD BASED-INDICES,SECTOR-INDICES,NIFTY 50-STOCKS,NIFTY 100-STOCKS,NIFTY 200-STOCKS,F&O-STOCKS
,,,ULTRACEMCO,IRCTC,CHOLAFIN
,,,MCDOWELL-N,IRFC,CIPLA
,,,VBL,IGL,CMC
,,,VEDL,INDUSTOWER,CNX100
,,,WIPRO,INDUSINDBK,CNXINFRA
,,,ZOMATO,NAUKRI,CNXIT
,,,ZYDUSLIFE,INFY,CNXPSE
,,,,INDIGO,COALINDIA
,,,,IPCALAB,COFORGE
,,,,JSWENERGY,COLGATE
,,,,JSWSTEEL,COLPAL
,,,,JINDALSTEL,CONCOR
,,,,JUBLFOOD,COREEDUTEC
,,,,KPITTECH,COREPROTEC
,,,,KOTAKBANK,COROMANDEL
,,,,L&TFH,CORPBANK
,,,,LTTS,CROMPGREAV
,,,,LICHSGFIN,CROMPTON
,,,,LTIM,CUB
,,,,LT,CUMMINSIND
,,,,LAURUSLABS,DABUR
,,,,LICI,DALBHARAT
,,,,LUPIN,DALMIABHA
,,,,MRF,DCB
,,,,LODHA,DCBBANK
,,,,M&MFIN,DCHL
,,,,M&M,DEEPAKNTR
,,,,MANKIND,DEFTY
,,,,MARICO,DELTACORP
,,,,MARUTI,DENABANK
,,,,MFSL,DHANBANK
,,,,MAXHEALTH,DHFL
,,,,MAZDOCK,DISHTV
,,,,MSUMI,DIVISLAB
,,,,MPHASIS,DIXON
,,,,MUTHOOTFIN,DJIA
,,,,NHPC,DLF
,,,,NMDC,DRREDDY
,,,,NTPC,EDELWEISS
,,,,NAVINFLUOR,EDUCOMP
,,,,NESTLEIND,EICHERMOT
,,,,OBEROIRLTY,EKC
,,,,ONGC,ENGINERSIN
,,,,OIL,EQUITAS
,,,,PAYTM,ESCORTS
,,,,POLICYBZR,ESSAROIL
,,,,PIIND,EVERONN
,,,,PAGEIND,EXIDEIND
,,,,PATANJALI,FEDERALBNK
,,,,PERSISTENT,FINANTECH
,,,,PETRONET,FINNIFTY
,,,,PIDILITIND,FORTIS
,,,,PEL,FRL
,,,,POLYCAB,FSL
,,,,POONAWALLA,FTSE100
,,,,PFC,GAIL
,,,,POWERGRID,GBN
,,,,PRESTIGE,GDL
,,,,PGHH,GESCOCORP
,,,,PNB,GESHIP
,,,,RECLTD,GITANJALI
,,,,RVNL,GLAXO
,,,,RELIANCE,GLENMARK
,,,,SBICARD,GMDCLTD
,,,,SBILIFE,GMRINFRA
,,,,SRF,GNFC
,,,,MOTHERSON,GODFRYPHLP
,,,,SHREECEM,GODREJCP
