Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2004-01-01,NIFTYSMALLCAP,986.77,1003.9,849.48,874.16,0,0,Thursday,False,,,False,True,,,False
2004-02-01,NIFTYSMALLCAP,821.16,902.73,821.16,832.06,0,0,Sunday,True,-42.10000000000002,-4.82,False,True,,,False
2004-03-01,NIFTYSMALLCAP,846.25,855.65,744.51,817.97,0,0,Monday,False,-14.089999999999918,-1.69,False,True,,,False
2004-04-01,NIFTYSMALLCAP,844.3,929.19,844.3,890.89,0,0,Thursday,True,72.91999999999996,8.91,True,True,,,False
2004-05-01,NIFTYSMALLCAP,870.49,922.81,718.8,774.45,0,0,Saturday,False,-116.43999999999994,-13.07,False,True,,,False
2004-06-01,NIFTYSMALLCAP,782.66,798.16,742.77,786.47,0,0,Tuesday,True,12.019999999999982,1.55,True,True,,,False
2004-07-01,NIFTYSMALLCAP,796.91,872.22,776.74,872.22,0,0,Thursday,False,85.75,10.9,True,True,,,False
2004-08-01,NIFTYSMALLCAP,873.57,977.21,873.57,977.21,0,0,Sunday,True,104.99000000000001,12.04,True,True,,,False
2004-09-01,NIFTYSMALLCAP,985.48,1038.5,975.54,1038.5,0,0,Wednesday,False,61.289999999999964,6.27,True,True,,,False
2004-10-01,NIFTYSMALLCAP,1043.0,1081.7,1016.1,1047.5,0,0,Friday,True,9.0,0.87,True,True,,,False
2004-11-01,NIFTYSMALLCAP,1053.5,1197.6,1053.5,1181.0,0,0,Monday,False,133.5,12.74,True,True,,,False
2004-12-01,NIFTYSMALLCAP,1180.1,1348.7,1180.1,1348.7,0,0,Wednesday,True,167.70000000000005,14.2,True,True,,,False
2005-01-01,NIFTYSMALLCAP,1375.9,1382.6,1271.8,1360.5,0,0,Saturday,False,11.799999999999955,0.87,True,False,838.8999999999999,62.2,True
2005-02-01,NIFTYSMALLCAP,1379.1,1450.6,1379.1,1432.5,0,0,Tuesday,True,72.0,5.29,True,False,838.8999999999999,62.2,True
2005-03-01,NIFTYSMALLCAP,1429.1,1517.8,1372.4,1430.8,0,0,Tuesday,False,-1.7000000000000455,-0.12,False,False,838.8999999999999,62.2,True
2005-04-01,NIFTYSMALLCAP,1468.6,1495.8,1433.4,1453.1,0,0,Friday,True,22.299999999999955,1.56,True,False,838.8999999999999,62.2,True
2005-05-01,NIFTYSMALLCAP,1443.2,1599.7,1443.2,1581.0,0,0,Sunday,False,127.90000000000009,8.8,True,False,838.8999999999999,62.2,True
2005-06-01,NIFTYSMALLCAP,1596.4,1658.4,1575.6,1589.0,0,0,Wednesday,True,8.0,0.51,True,False,838.8999999999999,62.2,True
2005-07-01,NIFTYSMALLCAP,1609.8,1799.7,1609.8,1779.2,0,0,Friday,False,190.20000000000005,11.97,True,False,838.8999999999999,62.2,True
