Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,CalenderMonthDay,CalenderYearDay,TradingMonthDay,TradingYearDay,EvenCalenderMonthDay,EvenCalenderYearDay,EvenTradingMonthDay,EvenTradingYearDay,ReturnPoints,ReturnPercentage,PositiveDay,MondayWeeklyDate,MondayWeekNumberMonthly,MondayWeekNumberYearly,EvenMondayWeekNumberMonthly,EvenMondayWeekNumberYearly,MondayWeeklyReturnPoints,MondayWeeklyReturnPercentage,PositiveMondayWeek,ExpiryWeeklyDate,ExpiryWeekNumberMonthly,ExpiryWeekNumberYearly,EvenExpiryWeekNumberMonthly,EvenExpiryWeekNumberYearly,ExpiryWeeklyReturnPoints,ExpiryWeeklyReturnPercentage,PositiveExpiryWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2020-03-16,SBICARD,661.0,755.0,656.0,681.4,60893376,41492746240,Monday,16,76,,,True,True,False,False,,,False,2020-03-16,,,,,,,False,2020-03-19,,,,,,,False,False,,,False,True,,,False
2020-03-17,SBICARD,691.0,747.95,689.0,730.9,15147702,11071456256,Tuesday,17,77,,,False,False,False,False,49.5,7.26,True,2020-03-16,,,,,,,False,2020-03-19,,,,,,,False,False,,,False,True,,,False
2020-03-18,SBICARD,752.1,769.0,680.0,689.2,8950986,6169019904,Wednesday,18,78,,,True,True,False,False,-41.69999999999993,-5.71,False,2020-03-16,,,,,,,False,2020-03-19,,,,,,,False,False,,,False,True,,,False
2020-03-19,SBICARD,660.0,717.0,650.0,692.05,6432291,4451466752,Thursday,19,79,,,False,False,False,False,2.849999999999909,0.41,True,2020-03-16,,,,,,,False,2020-03-19,,,,,,,False,False,,,False,True,,,False
2020-03-20,SBICARD,706.25,730.0,690.25,724.5,6492749,4703996416,Friday,20,80,,,True,True,False,False,32.450000000000045,4.69,True,2020-03-16,,,,,,,False,2020-03-26,,,,,-41.09999999999991,-5.94,False,False,,,False,True,,,False
2020-03-23,SBICARD,659.0,698.0,580.0,582.4,6260568,3646155008,Monday,23,83,,,False,False,False,False,-142.10000000000002,-19.61,False,2020-03-23,,,,,-68.60000000000002,-9.47,False,2020-03-26,,,,,-41.09999999999991,-5.94,False,False,,,False,True,,,False
2020-03-24,SBICARD,620.0,623.95,575.05,613.7,4019346,2466672640,Tuesday,24,84,,,True,True,False,False,31.300000000000068,5.37,True,2020-03-23,,,,,-68.60000000000002,-9.47,False,2020-03-26,,,,,-41.09999999999991,-5.94,False,False,,,False,True,,,False
2020-03-25,SBICARD,601.0,648.9,591.4,624.95,3488027,2179842560,Wednesday,25,85,,,False,False,False,False,11.25,1.83,True,2020-03-23,,,,,-68.60000000000002,-9.47,False,2020-03-26,,,,,-41.09999999999991,-5.94,False,False,,,False,True,,,False
2020-03-26,SBICARD,634.0,693.8,621.45,650.95,4360649,2838564608,Thursday,26,86,,,True,True,False,False,26.0,4.16,True,2020-03-23,,,,,-68.60000000000002,-9.47,False,2020-03-26,,,,,-41.09999999999991,-5.94,False,False,,,False,True,,,False
2020-03-27,SBICARD,675.0,690.0,650.0,655.9,3114721,2042945536,Friday,27,87,,,False,False,False,False,4.949999999999932,0.76,True,2020-03-23,,,,,-68.60000000000002,-9.47,False,2020-04-02,1,,False,,-42.90000000000009,-6.59,False,False,,,False,True,,,False
2020-03-30,SBICARD,640.0,642.7,607.0,615.35,1791951,1102676992,Monday,30,90,,,True,True,False,False,-40.549999999999955,-6.18,False,2020-03-30,,,,,-65.64999999999998,-10.01,False,2020-04-02,1,,False,,-42.90000000000009,-6.59,False,False,,,False,True,,,False
2020-03-31,SBICARD,635.0,638.0,608.55,618.65,2334681,1444350464,Tuesday,31,91,,,False,False,False,False,3.2999999999999545,0.54,True,2020-03-30,,,,,-65.64999999999998,-10.01,False,2020-04-02,1,,False,,-42.90000000000009,-6.59,False,False,,,False,True,,,False
2020-04-01,SBICARD,624.0,624.0,601.25,608.05,1501066,912723136,Wednesday,1,92,1,,False,True,False,False,-10.600000000000023,-1.71,False,2020-03-30,,,,,-65.64999999999998,-10.01,False,2020-04-02,1,,False,,-42.90000000000009,-6.59,False,True,-19.5,-3.15,False,True,,,False
2020-04-03,SBICARD,613.8,614.7,588.0,590.25,1693653,999678656,Friday,3,94,2,,False,True,True,False,-17.799999999999955,-2.93,False,2020-03-30,,,,,-65.64999999999998,-10.01,False,2020-04-09,2,,True,,-12.849999999999909,-2.11,False,True,-19.5,-3.15,False,True,,,False
