Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2001-09-01,LUPIN,7.5,8.43,6.34,6.47,1248480,733827,Saturday,False,,,False,False,,,False
2001-10-01,LUPIN,6.61,6.98,6.11,6.3,3077210,1859571,Monday,True,-0.16999999999999993,-2.63,False,False,,,False
2001-11-01,LUPIN,6.48,11.0,6.31,10.17,22020000,4896379,Thursday,False,3.87,61.43,True,False,,,False
2001-12-01,LUPIN,10.5,12.94,8.38,9.51,14801310,14190775,Saturday,True,-0.6600000000000001,-6.49,False,False,,,False
2002-01-01,LUPIN,9.71,12.4,9.0,10.52,56209300,13144381,Tuesday,False,1.0099999999999998,10.62,True,True,5.07,53.31,True
2002-02-01,LUPIN,10.65,13.59,10.1,11.38,73917650,43473876,Friday,True,0.8600000000000012,8.17,True,True,5.07,53.31,True
2002-03-01,LUPIN,11.49,12.69,11.32,11.66,17597330,7396171,Friday,False,0.27999999999999936,2.46,True,True,5.07,53.31,True
2002-04-01,LUPIN,11.83,15.5,11.65,14.25,70639110,21320348,Monday,True,2.59,22.21,True,True,5.07,53.31,True
2002-05-01,LUPIN,14.33,14.5,10.11,11.32,20082520,5097396,Wednesday,False,-2.9299999999999997,-20.56,False,True,5.07,53.31,True
2002-06-01,LUPIN,11.73,12.5,10.89,11.08,11607430,11750132,Saturday,True,-0.2400000000000002,-2.12,False,True,5.07,53.31,True
2002-07-01,LUPIN,11.3,12.88,10.13,10.3,18011620,6182678,Monday,False,-0.7799999999999994,-7.04,False,True,5.07,53.31,True
2002-08-01,LUPIN,10.58,11.16,10.04,10.63,4476280,1489901,Thursday,True,0.33000000000000007,3.2,True,True,5.07,53.31,True
2002-09-01,LUPIN,10.61,11.89,9.4,9.47,13897180,13151239,Sunday,False,-1.1600000000000001,-10.91,False,True,5.07,53.31,True
