Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2007-01-01,DLF,575.0,1099.0,490.0,1073.9,468561649,1912238976,Monday,False,,,False
2008-01-01,DLF,1076.0,1225.0,154.1,282.15,1438971918,3112087552,Tuesday,True,-791.7500000000001,-73.73,False
2009-01-01,DLF,279.85,519.9,124.05,361.2,3464806830,2501845760,Thursday,False,79.05000000000001,28.02,True
2010-01-01,DLF,361.0,403.5,254.5,291.95,1640849242,1050594688,Friday,True,-69.25,-19.17,False
2011-01-01,DLF,295.0,298.5,173.25,183.1,1526792547,1131410048,Saturday,False,-108.85,-37.28,False
2012-01-01,DLF,184.7,261.2,169.75,230.6,1708479378,1585240832,Sunday,True,47.5,25.94,True
2013-01-01,DLF,233.65,289.25,120.05,166.7,2167283388,766962688,Tuesday,False,-63.900000000000006,-27.71,False
2014-01-01,DLF,167.6,242.95,100.1,137.4,2692002603,599110976,Wednesday,True,-29.299999999999983,-17.58,False
2015-01-01,DLF,137.0,179.2,93.35,116.0,2197367085,1368961536,Thursday,False,-21.400000000000006,-15.57,False
2016-01-01,DLF,115.95,169.6,72.35,111.4,2479123506,1088695680,Friday,True,-4.599999999999994,-3.97,False
2017-01-01,DLF,116.0,266.8,113.95,259.35,2532345971,3568162304,Sunday,False,147.95000000000002,132.81,True
2018-01-01,DLF,259.45,273.85,142.0,177.55,1645307580,826267840,Monday,True,-81.80000000000001,-31.54,False
2019-01-01,DLF,177.1,235.15,132.55,230.9,2808554729,1260408192,Tuesday,False,53.349999999999994,30.05,True
2020-01-01,DLF,231.4,266.55,114.55,232.85,2999547860,2791723008,Wednesday,True,1.9499999999999886,0.84,True
2021-01-01,DLF,232.85,449.7,231.85,390.45,2867918033,1542038912,Friday,False,157.6,67.68,True
2022-01-01,DLF,392.0,429.9,294.7,375.0,6922884285,0,Saturday,True,-15.449999999999989,-3.96,False
2023-01-01,DLF,376.05,428.9,336.5,426.2,309754528,0,Sunday,False,51.19999999999999,13.65,True
